COACHEASILY — CBA X (English)  ·  AI calling impact,,,,,,,
"26 Jun–17 Jul 2026 · base = 2,056 registrants · reached = Signup/Day-of bots (talk >15s) · team deleted",,,,,,,
,,,,,,,
BUSINESS IMPACT — with AI vs without,,,,,,,
Revenue without AI calling,,,"₹414,626",,,,
Revenue with AI calling,,,"₹489,930",,,,
AI calling added,,,"₹75,304",,,,
Relative revenue increase,,,18.2%,,,,
Incremental sales (vs no-bot baseline),,,10.8,,,,
Sale value,,,"₹6,999",,,,
Talk-minutes × ₹5.10  (Signup+Day-of),,,"₹12,337",,,,
ROI (return multiple),,,6.1×,,,,
,,,,,,,
SHOW-UP & BUYERS — by bot reached (whole window · Δ = vs No-bot),,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,"2,056","1,018",49.5%,,70,3.4%,
Signup bot (Instant Conf.),831,449,54.0%,+17.2%,33,4.0%,+37.8%
Day-of bot (Session Today),211,127,60.2%,+30.6%,5,2.4%,-17.8%
Both bots,166,102,61.4%,+33.3%,2,1.2%,-58.2%
No bot reached,"1,180",544,46.1%,,34,2.9%,
,,,,,,,
"Reached leads buy at 4.11% vs 2.88% for no-bot — a +43% relative lift. Show-up matched to real attendance ('English Number Fetch') by email/name/phone → 1,018/2,056 = 50% (platform's own count 1,317/2,261 = 58%). Bot rows are INCLUSIVE & overlap (a lead reached by BOTH also appears in Signup & Day-of). Buyers & buy-rates are complete (from the sales system). Team test numbers deleted from every dataset before counting.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"PER-CALL-DAY DETAIL  (each webinar day, by bot reached · Δ = vs that day's No-bot)",,,,,,,
26 Jun 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,134,79,59.0%,,3,2.2%,
Signup bot,37,26,70.3%,+30.3%,2,5.4%,+381.1%
Day-of bot,26,17,65.4%,+21.2%,0,0.0%,-100.0%
Both bots,18,12,66.7%,+23.6%,0,0.0%,-100.0%
No bot reached,89,48,53.9%,,1,1.1%,
,,,,,,,
27 Jun 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,118,71,60.2%,,4,3.4%,
Signup bot,40,27,67.5%,+20.5%,3,7.5%,+462.5%
Day-of bot,15,9,60.0%,+7.1%,0,0.0%,-100.0%
Both bots,12,7,58.3%,+4.2%,0,0.0%,-100.0%
No bot reached,75,42,56.0%,,1,1.3%,
,,,,,,,
28 Jun 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,121,64,52.9%,,1,0.8%,
Signup bot,49,26,53.1%,-2.3%,0,0.0%,-100.0%
Day-of bot,20,10,50.0%,-7.9%,0,0.0%,-100.0%
Both bots,18,10,55.6%,+2.3%,0,0.0%,-100.0%
No bot reached,70,38,54.3%,,1,1.4%,
,,,,,,,
29 Jun 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,123,72,58.5%,,5,4.1%,
Signup bot,42,31,73.8%,+51.6%,2,4.8%,+81.0%
Day-of bot,18,12,66.7%,+36.9%,1,5.6%,+111.1%
Both bots,13,8,61.5%,+26.4%,0,0.0%,-100.0%
No bot reached,76,37,48.7%,,2,2.6%,
,,,,,,,
30 Jun 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,113,54,47.8%,,8,7.1%,
Signup bot,32,22,68.8%,+76.5%,4,12.5%,+220.8%
Day-of bot,13,11,84.6%,+117.2%,3,23.1%,+492.3%
Both bots,9,9,100.0%,+156.7%,2,22.2%,+470.4%
No bot reached,77,30,39.0%,,3,3.9%,
,,,,,,,
01 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,113,63,55.8%,,4,3.5%,
Signup bot,32,16,50.0%,-14.1%,0,0.0%,-100.0%
Day-of bot,12,7,58.3%,+0.2%,1,8.3%,+119.4%
Both bots,10,6,60.0%,+3.0%,0,0.0%,-100.0%
No bot reached,79,46,58.2%,,3,3.8%,
,,,,,,,
02 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,135,70,51.9%,,2,1.5%,
Signup bot,52,29,55.8%,+13.0%,0,0.0%,-100.0%
Day-of bot,25,13,52.0%,+5.4%,0,0.0%,-100.0%
Both bots,17,9,52.9%,+7.3%,0,0.0%,-100.0%
No bot reached,75,37,49.3%,,2,2.7%,
,,,,,,,
03 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,95,42,44.2%,,1,1.1%,
Signup bot,44,20,45.5%,+3.3%,1,2.3%,100%
Day-of bot,14,8,57.1%,+29.9%,0,0.0%,
Both bots,13,8,61.5%,+39.9%,0,0.0%,
No bot reached,50,22,44.0%,,0,0.0%,
,,,,,,,
04 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,56,22,39.3%,,3,5.4%,
Signup bot,24,9,37.5%,-7.7%,1,4.2%,-33.3%
Day-of bot,8,4,50.0%,+23.1%,0,0.0%,-100.0%
Both bots,8,4,50.0%,+23.1%,0,0.0%,-100.0%
No bot reached,32,13,40.6%,,2,6.3%,
,,,,,,,
05 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,51,29,56.9%,,2,3.9%,
Signup bot,21,11,52.4%,-6.5%,0,0.0%,-100.0%
Day-of bot,14,10,71.4%,+27.6%,0,0.0%,-100.0%
Both bots,9,6,66.7%,+19.0%,0,0.0%,-100.0%
No bot reached,25,14,56.0%,,2,8.0%,
,,,,,,,
06 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,59,30,50.8%,,1,1.7%,
Signup bot,27,15,55.6%,+14.8%,1,3.7%,100%
Day-of bot,8,4,50.0%,+3.3%,0,0.0%,
Both bots,7,4,57.1%,+18.1%,0,0.0%,
No bot reached,31,15,48.4%,,0,0.0%,
,,,,,,,
07 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,97,51,52.6%,,1,1.0%,
Signup bot,35,17,48.6%,-10.2%,0,0.0%,-100.0%
Day-of bot,11,8,72.7%,+34.4%,0,0.0%,-100.0%
Both bots,10,7,70.0%,+29.4%,0,0.0%,-100.0%
No bot reached,61,33,54.1%,,1,1.6%,
,,,,,,,
08 Jul 2026,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ
Total,77,46,59.7%,,3,3.9%,
Signup bot,36,26,72.2%,+44.4%,2,5.6%,+111.1%
Day-of bot,14,9,64.3%,+28.6%,0,0.0%,-100.0%
Both bots,11,8,72.7%,+45.5%,0,0.0%,-100.0%
No bot reached,38,19,50.0%,,1,2.6%,
,,,,,,,
09 Jul 2026,,,,,,,
