COACHEASILY — CBA X (English)  ·  AI calling impact,,,,,,,,,,,,,
"17 Jul – 14 Aug 2026 · base = 2,624 registrants · connected = Signup/Day-of bots (talk > 15s) · baseline = not connected · team deleted",,,,,,,,,,,,,
,,,,,,,,,,,,,
BUSINESS IMPACT — with AI vs without,,,,,,,,,,,,,
Revenue without AI calling,,,"₹436,629",,,,,,,,,,
Revenue with AI calling,,,"₹776,889",,,,,,,,,,
AI calling added,,,"₹340,260",,,,,,,,,,
Relative revenue increase,,,77.9%,,,,,,,,,,
"Extra sales credited to AI (weighted, like-for-like)",,,48.6,,,,,,,,,,
Sale value,,,"₹6,999",,,,,,,,,,
Talk-minutes × ₹5.10  (Signup+Day-of),,,"₹23,231",,,,,,,5,1,20%,1
ROI (return multiple),,,14.6×,,,,,,,50,5,10%,5
,,,,,,,,,,5,0,-100%,-5
SHOW-UP & BUYERS — by bot reached (whole window · Δ = vs not connected),,,,,,,,,,,,,1
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,"2,624","1,293",49.3%,,111,4.23%,,,,,,,
Signup bot (Instant Conf.),"1,145",630,55.0%,+25.6%,75,6.55%,+181.7%,,,,,,
Day-of bot (Session Today),507,308,60.7%,+38.6%,46,9.07%,+290.1%,,100,5,500,,
Both bots,404,248,61.4%,+40.1%,42,10.40%,+347.0%,,200,5,1000,,
Not connected  (BASELINE),"1,376",603,43.8%,,32,2.33%,,,399,5,1995,,
,,,,,,,,,,15,3495,,
"Connected leads buy at 6.33% vs 2.33% for leads the bots never got talking — a +172% relative lift (p = 0.0000), and they show up 55.3% vs 43.8% (p = 0.0000). Being reached by BOTH bots is the strongest position of all (10.40% buy rate) — the two calls compound, so the day-of bot should not be left switched off. Bot rows are INCLUSIVE and overlap (a lead reached by BOTH also appears in Signup and in Day-of), so they do not add up to the total. Show-up is matched to real attendance ('English Number Fetch') by phone/email/name → 1,293/2,624 = 49% (platform's own count 1,642/2,769 = 59%). Buyers and buy-rates are complete, straight from the sales system. Team/test numbers deleted from every dataset before counting. '—' in a Δ column means that group had zero, i.e. no signal, not '100% worse'.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"PER-CALL-DAY DETAIL  (each webinar day, by bot reached · Δ = vs that day's not-connected)",,,,,,,,,,,,,
17 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,76,35,46.1%,,8,10.53%,,,,,,,
Signup bot,51,23,45.1%,-9.8%,7,13.73%,+229.4%,,,,,,
Day-of bot,22,13,59.1%,+18.2%,4,18.18%,+336.4%,,,,,,
Both bots,21,13,61.9%,+23.8%,4,19.05%,+357.1%,,,,,,
Not connected,24,12,50.0%,,1,4.17%,,,,,,,
,,,,,,,,,,,,,
18 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,70,34,48.6%,,3,4.29%,,,,,,,
Signup bot,27,13,48.1%,+2.0%,1,3.70%,-33.3%,,,,,,
Day-of bot,16,7,43.8%,-7.4%,1,6.25%,+12.5%,,,,,,
Both bots,9,3,33.3%,-29.4%,1,11.11%,+100.0%,,,,,,
Not connected,36,17,47.2%,,2,5.56%,,,,,,,
,,,,,,,,,,,,,
19 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,79,41,51.9%,,3,3.80%,,,,,,,
Signup bot,21,14,66.7%,+40.7%,0,0.00%,—,,,,,,
Day-of bot,11,6,54.5%,+15.2%,0,0.00%,—,,,,,,
Both bots,10,6,60.0%,+26.7%,0,0.00%,—,,,,,,
Not connected,57,27,47.4%,,3,5.26%,,,,,,,
,,,,,,,,,,,,,
20 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,92,45,48.9%,,6,6.52%,,,,,,,
Signup bot,44,21,47.7%,+3.0%,4,9.09%,+86.4%,,,,,,
Day-of bot,27,15,55.6%,+19.9%,4,14.81%,+203.7%,,,,,,
Both bots,20,10,50.0%,+7.9%,4,20.00%,+310.0%,,,,,,
Not connected,41,19,46.3%,,2,4.88%,,,,,,,
,,,,,,,,,,,,,
21 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,76,36,47.4%,,2,2.63%,,,,,,,
Signup bot,45,26,57.8%,+73.3%,2,4.44%,+100.0%,,,,,,
Day-of bot,19,10,52.6%,+57.9%,0,0.00%,—,,,,,,
Both bots,18,10,55.6%,+66.7%,0,0.00%,—,,,,,,
Not connected,30,10,33.3%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
22 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,105,49,46.7%,,4,3.81%,,,,,,,
Signup bot,58,27,46.6%,+8.6%,3,5.17%,+117.2%,,,,,,
Day-of bot,25,15,60.0%,+40.0%,3,12.00%,+404.0%,,,,,,
Both bots,20,11,55.0%,+28.3%,3,15.00%,+530.0%,,,,,,
Not connected,42,18,42.9%,,1,2.38%,,,,,,,
,,,,,,,,,,,,,
23 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,80,42,52.5%,,2,2.50%,,,,,,,
Signup bot,41,25,61.0%,+48.1%,2,4.88%,+100.0%,,,,,,
Day-of bot,19,14,73.7%,+78.9%,2,10.53%,+100.0%,,,,,,
Both bots,14,11,78.6%,+90.8%,2,14.29%,+100.0%,,,,,,
Not connected,34,14,41.2%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
24 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,77,40,51.9%,,3,3.90%,,,,,,,
Signup bot,33,13,39.4%,-30.2%,2,6.06%,+100.0%,,,,,,
Day-of bot,18,13,72.2%,+28.0%,3,16.67%,+100.0%,,,,,,
Both bots,13,8,61.5%,+9.1%,2,15.38%,+100.0%,,,,,,
Not connected,39,22,56.4%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
25 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,96,54,56.3%,,4,4.17%,,,,,,,
Signup bot,48,30,62.5%,+22.3%,4,8.33%,+100.0%,,,,,,
Day-of bot,11,8,72.7%,+42.3%,1,9.09%,+100.0%,,,,,,
Both bots,8,7,87.5%,+71.2%,1,12.50%,+100.0%,,,,,,
Not connected,45,23,51.1%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
26 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,77,32,41.6%,,3,3.90%,,,,,,,
Signup bot,33,17,51.5%,+62.5%,2,6.06%,+100.0%,,,,,,
Day-of bot,11,5,45.5%,+43.4%,3,27.27%,+100.0%,,,,,,
Both bots,8,3,37.5%,+18.3%,2,25.00%,+100.0%,,,,,,
Not connected,41,13,31.7%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
27 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,69,35,50.7%,,2,2.90%,,,,,,,
Signup bot,34,17,50.0%,+3.1%,2,5.88%,+100.0%,,,,,,
Day-of bot,13,8,61.5%,+26.9%,1,7.69%,+100.0%,,,,,,
Both bots,11,6,54.5%,+12.5%,1,9.09%,+100.0%,,,,,,
Not connected,33,16,48.5%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
28 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,113,58,51.3%,,2,1.77%,,,,,,,
Signup bot,31,15,48.4%,-8.2%,0,0.00%,—,,,,,,
Day-of bot,22,10,45.5%,-13.8%,0,0.00%,—,,,,,,
Both bots,14,6,42.9%,-18.7%,0,0.00%,—,,,,,,
Not connected,74,39,52.7%,,2,2.70%,,,,,,,
,,,,,,,,,,,,,
29 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,106,57,53.8%,,3,2.83%,,,,,,,
Signup bot,45,26,57.8%,+13.6%,1,2.22%,-36.7%,,,,,,
Day-of bot,21,12,57.1%,+12.3%,1,4.76%,+35.7%,,,,,,
Both bots,17,10,58.8%,+15.6%,1,5.88%,+67.6%,,,,,,
Not connected,57,29,50.9%,,2,3.51%,,,,,,,
,,,,,,,,,,,,,
30 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,109,58,53.2%,,4,3.67%,,,,,,,
Signup bot,43,28,65.1%,+50.3%,2,4.65%,+179.1%,,,,,,
Day-of bot,23,16,69.6%,+60.5%,1,4.35%,+160.9%,,,,,,
Both bots,17,12,70.6%,+62.9%,0,0.00%,—,,,,,,
Not connected,60,26,43.3%,,1,1.67%,,,,,,,
,,,,,,,,,,,,,
31 Jul 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,106,52,49.1%,,7,6.60%,,,,,,,
Signup bot,48,28,58.3%,+62.7%,2,4.17%,-55.8%,,,,,,
Day-of bot,26,16,61.5%,+71.7%,1,3.85%,-59.2%,,,,,,
Both bots,21,11,52.4%,+46.1%,1,4.76%,-49.5%,,,,,,
Not connected,53,19,35.8%,,5,9.43%,,,,,,,
,,,,,,,,,,,,,
01 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,95,46,48.4%,,4,4.21%,,,,,,,
Signup bot,38,22,57.9%,+32.7%,4,10.53%,+100.0%,,,,,,
Day-of bot,19,10,52.6%,+20.6%,3,15.79%,+100.0%,,,,,,
Both bots,17,10,58.8%,+34.8%,3,17.65%,+100.0%,,,,,,
Not connected,55,24,43.6%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
02 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,107,55,51.4%,,4,3.74%,,,,,,,
Signup bot,58,34,58.6%,+36.8%,4,6.90%,+100.0%,,,,,,
Day-of bot,25,16,64.0%,+49.3%,2,8.00%,+100.0%,,,,,,
Both bots,25,16,64.0%,+49.3%,2,8.00%,+100.0%,,,,,,
Not connected,49,21,42.9%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
03 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,119,62,52.1%,,6,5.04%,,,,,,,
Signup bot,40,25,62.5%,+40.2%,3,7.50%,+85.0%,,,,,,
Day-of bot,18,13,72.2%,+62.0%,0,0.00%,—,,,,,,
Both bots,13,9,69.2%,+55.2%,0,0.00%,—,,,,,,
Not connected,74,33,44.6%,,3,4.05%,,,,,,,
,,,,,,,,,,,,,
04 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,101,54,53.5%,,7,6.93%,,,,,,,
Signup bot,52,33,63.5%,+50.3%,3,5.77%,-35.1%,,,,,,
Day-of bot,20,15,75.0%,+77.6%,2,10.00%,+12.5%,,,,,,
Both bots,16,13,81.3%,+92.4%,2,12.50%,+40.6%,,,,,,
